id,title,album,artist,year,duration,url
1,Jane Na Nazar Pehchane Jigar,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0101Commentary-Jane%20Na%20Nazar%20Pehchane%20Jigar.mp3
2,Afsana Likh Rahi Hoon,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0102Commentary-Afsana%20Likh%20Rahi%20Hoon.mp3
3,Pee Bin Soona Ji,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0103Commentary-Pee%20Bin%20Soona%20Ji.mp3
4,Bade Armanon Se,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0104Commentary-Bade%20Armanon%20Se.mp3
5,Ae Gham-E-Dil,Geetmala Ki Chhaon Mein Vol 01-05,Amitabh Bachchan,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0105Interview%20%28Amitabh%20Bachchan%29-Ae%20Gham-E-Dil.mp3
6,Akele Mein Woh Ghabrate,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0106Commentary-Akele%20Mein%20Woh%20Ghabrate.mp3
7,Tarari Tarari,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0107Commentary-Tarari%20Tarari.mp3
8,Maan Mera Ehsan Are Nadaan,Geetmala Ki Chhaon Mein Vol 01-05,Suraiya,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0108Interview%20%28Suraiya%29-Maan%20Mera%20Ehsan%20Are%20Nadaan.mp3
9,Piya Milan Ko Jana,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0109Commentary-Piya%20Milan%20Ko%20Jana.mp3
10,Tere Nainon Ne Chori Kiya,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0110Commentary-Tere%20Nainon%20Ne%20Chori%20Kiya.mp3
11,Jagmag Jagmag Karta,Geetmala Ki Chhaon Mein Vol 01-05,Kishore Kumar,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0111Interview%20%28Kishore%20Kumar%29-Jagmag%20Jagmag%20Karta.mp3
12,Mere Bachpan Ke Saathi,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0112Commentary-Mere%20Bachpan%20Ke%20Saathi.mp3
13,Mohe Bhool Gaye Sanwariya,Geetmala Ki Chhaon Mein Vol 01-05,Meena Kumari,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0113Interview%20%28Meena%20Kumari%29-Mohe%20Bhool%20Gaye%20Sanwariya.mp3
14,Dil Me Sama Gaye Sajan,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0114Commentary-Dil%20Me%20Sama%20Gaye%20Sajan.mp3
15,Yeh Kaun Aya,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0201Commentary-Yeh%20Kaun%20Aya.mp3
16,Bachpan Ke Din Bhula Na Dena,Geetmala Ki Chhaon Mein Vol 01-05,Tabassum,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0202Interview%20%28Tabassum%29-Bachpan%20Ke%20Din%20Bhula%20Na%20Dena.mp3
17,Hum Tum Yeh Bahar Dekho Rang Laya,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0203Commentary-Hum%20Tum%20Yeh%20Bahar%20Dekho%20Rang%20Laya.mp3
18,Na Jane Kidhar Aaj Meri Nao,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0204Commentary-Na%20Jane%20Kidhar%20Aaj%20Meri%20Nao.mp3
19,Main Ban Ki Chidiya Banke,Geetmala Ki Chhaon Mein Vol 01-05,Ashok Kumar,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0205Interview%20%28Ashok%20Kumar%29-Main%20Ban%20Ki%20Chidiya%20Banke.mp3
20,Aayega Aanewala,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0206Commentary-Aayega%20Aanewala.mp3
21,Aa Mohabbat Ki Basti Basayenge Hum,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0207Commentary-Aa%20Mohabbat%20Ki%20Basti%20Basayenge%20Hum.mp3
22,Hariyala Sawan,Geetmala Ki Chhaon Mein Vol 01-05,Nirupa Roy,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0208Interview%20%28Nirupa%20Roy%29-Hariyala%20Sawan.mp3
23,Mere Piya Se Koi Ye,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0209Commentary-Mere%20Piya%20Se%20Koi%20Ye.mp3
24,Awaz De Kahan Hai,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0210Commentary-Awaz%20De%20Kahan%20Hai.mp3
25,Khayalon Mein Kisi Ke Is Tarah,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0211Commentary-Khayalon%20Mein%20Kisi%20Ke%20Is%20Tarah.mp3
26,Woh Hamse Chup Hain,Geetmala Ki Chhaon Mein Vol 01-05,C Ramachandra,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0212Interview%20%28C%20Ramachandra%29-Woh%20Hamse%20Chup%20Hain.mp3
27,Tu Ganga Ki Mauj,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0213Commentary-Tu%20Ganga%20Ki%20Mauj.mp3
28,Milke Bichhad Gai Ankhiyan,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0301Commentary-Milke%20Bichhad%20Gai%20Ankhiyan.mp3
29,Interview (Pran)-Chanda Re Ja Re Ja Re,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0302Commentary-Interview%20%28Pran%29-Chanda%20Re%20Ja%20Re%20Ja%20Re.mp3
30,Jiya Beqarar Hai,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0303Commentary-Jiya%20Beqarar%20Hai.mp3
31,Haath Seene Pe Jo Rakh Do,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0304Commentary-Haath%20Seene%20Pe%20Jo%20Rakh%20Do.mp3
32,Interview (Mukesh)-Zinda Hoon Is Tarah,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0305Commentary-Interview%20%28Mukesh%29-Zinda%20Hoon%20Is%20Tarah.mp3
33,Sajan Ki Galiyan Chhod Chale,Geetmala Ki Chhaon Mein Vol 01-05,Shyama,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0306Interview%20%28Shyama%29-Sajan%20Ki%20Galiyan%20Chhod%20Chale.mp3
34,Seene Mein Sulagte Hai Armaan,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0307Commentary-Seene%20Mein%20Sulagte%20Hai%20Armaan.mp3
35,Ankhiyan Milake Zara Baat Karo Ji,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0308Commentary-Ankhiyan%20Milake%20Zara%20Baat%20Karo%20Ji.mp3
36,Interview (Suriya)-Man Mor Hua Matwala,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0309Commentary-Interview%20%28Suriya%29-Man%20Mor%20Hua%20Matwala.mp3
37,Do Naina Tumhare Pyare Pyare,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0310Commentary-Do%20Naina%20Tumhare%20Pyare%20Pyare.mp3
38,Yeh Zindagi Usiki Hai,Geetmala Ki Chhaon Mein Vol 01-05,Pradeep Kumar,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0311Interview%20%28Pradeep%20Kumar%29-Yeh%20Zindagi%20Usiki%20Hai.mp3
39,Tore Naina Rasile,Geetmala Ki Chhaon Mein Vol 01-05,Anil Biswas,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0312Interview%20%28Anil%20Biswas%29-Tore%20Naina%20Rasile.mp3
40,Aankhon Se Door Jake,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0313Commentary-Aankhon%20Se%20Door%20Jake.mp3
41,Dekho Woh Chand Chhupke,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0401Commentary-Dekho%20Woh%20Chand%20Chhupke.mp3
42,Gore Gore Haathon,Geetmala Ki Chhaon Mein Vol 01-05,Talat Mahmood-Mukri,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0402Interview%20%28Talat%20Mahmood-Mukri%29-Gore%20Gore%20Haathon.mp3
43,Aaj Paheli Tarikh Hai,Geetmala Ki Chhaon Mein Vol 01-05,Maruti,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0403Interview%20%28Maruti%29-Aaj%20Paheli%20Tarikh%20Hai.mp3
44,Zameen Chal Rahi,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0404Commentary-Zameen%20Chal%20Rahi.mp3
45,Bol Pardesia Ye Tu Kya Kiya,Geetmala Ki Chhaon Mein Vol 01-05,,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0405Commentary-Bol%20Pardesia%20Ye%20Tu%20Kya%20Kiya.mp3
46,Nanhe Munne Bachche,Geetmala Ki Chhaon Mein Vol 01-05,David,,,https://archive.org/download/geetmala_collection/Geetmala/Geetmala%20Ki%20Chhaon%20Mein%20Vol%2001-05/0406Interview%20%28David%29-Nanhe%20Munne%20Bachche.mp3
